,COMET_pct,iTree Planting FS_pct,iTree Planting PS_pct,FVS_pct,iTree Eco_pct,study,nyears
0,10.060247493241778,-94.25674030809819,-97.86035423242875,-99.997275900288,,Sharrow,11
0,10.542564903779967,-16.666678000072007,,-96.4051162126805,,Thomas_FV,11
0,,,,,,Orefice_A,33
0,-10.200188017121697,-52.479297785123954,-83.33331893333333,-47.55488717028914,-88.9233937464324,Orefice_B,33
0,92.63973561573239,240.35609012842468,10.93225486233454,-48.384516424954235,-29.400028117975648,Adewopo,22
